Business Area,Recipient Country (Country Name),Recipient Region (Text),Activity Website (URL),Contact Info,Organisation(Text),Telephone(Text),Email(Text),Mailing Address(Text),CPD Cycle Start,CPD Cycle End,CPD English,CPD Extension,Annual Report Year,Annual Report
60,Afghanistan,ROSA,http://www.unicef.org/infobycountry/afghanistan.html,The Representative,,93790507000,kabul@unicef.org,"P.O. Box 54
Kabul, Afghanistan",2015,2019,http://www.unicef.org/about/execboard/files/2014-PL9-Afghanistan_CPD-Final_approved-EN.pdf,,2014,http://www.unicef.org/about/annualreport/files/Afghanistan_Annual_Report_2014.pdf
90,Albania,CEE-CIS,http://www.unicef.org/albania/,The Representative,Albania  Country Office,35542273335,tirana@unicef.org,"Rr. Skenderbej, Ndertesa Volkswagen, kati 3
Tirana, Albania",2012,2016,http://www.unicef.org/about/execboard/files/Albania_final_approved_2012-2016_20_Oct_2011.pdf,,2014,http://www.unicef.org/about/annualreport/files/Albania_Annual_Report_2014.pdf
120,Algeria,MENA,http://www.unicef.org/algeria/,The Representative,Algeria  Country Office,21321927298,algiers@unicef.org,"BP 420 Alger RP, Algérie",2012,2015,http://www.unicef.org/about/execboard/files/Algeria_final_approved_2012-2014_English_10Feb2012_.pdf,http://www.unicef.org/about/execboard/files/2014-18-Extensions_decision-SRS2014.pdf,2014,http://www.unicef.org/about/annualreport/files/Algeria_Annual_Report_2014.pdf
6810,Angola,ESARO,http://www.unicef.org/angola_latest/,The Representative,Angola  Country Office,2.44226E+11,luanda@unicef.org,"P.O. Box 2707
Luanda, Republic of Angola",2015,2019,http://www.unicef.org/about/execboard/files/2014-PL4-Angola_CPD-final_approved-EN.pdf,,2014,http://www.unicef.org/about/annualreport/files/Angola_Annual_Report_2014.pdf
240,Argentina,LACRO,http://www.unicef.org/argentina/,The Representative,Argentina  Country Office,5.41158E+11,buenosaires@unicef.org,Junín 1940 PB – Ciudad Autónoma de Buenos Aires,2010,2015,http://www.unicef.org/about/execboard/files/Argentina_final_approved_CPD_-12_Jan_2010.pdf,http://www.unicef.org/about/execboard/files/2014-18-Extensions_decision-SRS2014.pdf,2014,http://www.unicef.org/about/annualreport/files/Argentina_Annual_Report_2014.pdf
260,Armenia,CEE-CIS,http://www.unicef.org/armenia/,The Representative,Armenia  Country Office,37410523546,yerevan@unicef.org,"UNICEF Armenia
UN Building
14, Petros Adamyan Street
Yerevan 0010
Armenia",2010,2015,http://www.unicef.org/about/execboard/files/Armenia_final_approved_CPD_15_Sept_2009.pdf,,2014,http://www.unicef.org/about/annualreport/files/Armenia_Annual_Report_2014.pdf
310,Azerbaijan,CEE-CIS,http://www.unicef.org/azerbaijan/,The Representative,Azerbaijan  Country Office,9.94125E+11,baku@unicef.org,"24. S . Dadashov street.
Baku, Azerbaijan",2011,2015,http://www.unicef.org/about/execboard/files/Azerbaijan_final_approved_CPD_9_September_2010.pdf,,2014,http://www.unicef.org/about/annualreport/files/Azerbaijan_Annual_Report_2014.pdf
5070,Bangladesh,ROSA,http://www.unicef.org/bangladesh/,The Representative,Bangladesh  Country Office,88028852266,dhaka@unicef.org,"P.O. Box 58
Dhaka - 1000
Bangaldesh",2012,2016,http://www.unicef.org/about/execboard/files/Bangladesh_final_approved_2012-2016_20_Oct_2011_.pdf,,2014,http://www.unicef.org/about/annualreport/files/Bangladesh_Annual_Report_2014.pdf
420,Barbados,LACRO,http://www.unicef.org/barbados/,The Representative,Barbados  Country Office,2464676000,bridgetown@unicef.org,"1st Floor,  UN House
 Marine Gardens
 Christ Church
 BARBADOS",2012,2016,http://www.unicef.org/about/execboard/files/Eastern_Caribbean_multicountry_2012-2016_20_Oct_2012.pdf,,2014,http://www.unicef.org/about/annualreport/files/Eastern_Caribbean_Multi-Country_Program_Annual_Report_2014.pdf
630,Belarus,CEE-CIS,http://www.unicef.by/,The Representative,Belarus  Country Office,3.75172E+11,minsk@unicef.org,"22A, Krasnoarmejskaya Street
220030 Minsk
Republic of Belarus",2011,2015,http://www.unicef.org/about/execboard/files/Belarus_final_approved_CPD_9_Sept_2010.pdf,,2014,http://www.unicef.org/about/annualreport/files/Belarus_Annual_Report_2014.pdf
